y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
1-0,1-0,0.46057703792704124,0.5002579480297363,0.03916501404322255
1-0,1-0,0.4603303061296713,0.5004371607075054,0.039232533162823345
1-0,1-0,0.45674253164144996,0.5039133757481268,0.03934409261042315
0-1,1-0,0.45649151113180886,0.504981253425442,0.0385272354427491
1-0,1-0,0.46058335060167294,0.5003478295084776,0.039068819889849345
1-0,1-0,0.4610922779693649,0.502536639804391,0.03637108222624396
0-1,1-0,0.4605932392735904,0.5002499475074611,0.03915681321894842
1-0,0-1,0.4465536383643994,0.5143828451386925,0.039063516496908424
1-0,0-1,0.4492344231394506,0.511404343728851,0.039361233131698446
1-0,1-0,0.46060929271948753,0.5004497697316451,0.03894093754886736
0-1,1-0,0.46051982560449367,0.5003158444339941,0.039164329961512416
0-1,1-0,0.4578938094159559,0.5030953841473661,0.039010806436677675
0-1,1-0,0.4594947207843888,0.5013120975319437,0.03919318168366744
1-0,1-0,0.460053821706219,0.5008077461406242,0.039138432153156884
1-0,1-0,0.46046326309918034,0.5003334969294999,0.03920323997131939
1-0,0-1,0.4503620975875279,0.5102881177387864,0.03934978467368565
1-0,1-0,0.46034426171749676,0.5004057266489507,0.03925001163355267
0-1,1-0,0.45567936134063375,0.5053360420963556,0.03898459656301045
1-0,1-0,0.4604127304836445,0.5003540000103244,0.03923326950603105
1-0,1-0,0.4602312336237286,0.5004937876829676,0.03927497869330381
1-0,1-0,0.4571704363904139,0.5035825513867763,0.03924701222280961
1-0,1-0,0.4539356094811074,0.5070567025849265,0.03900768793396633
0-1,1-0,0.46013373776055977,0.5005785776519305,0.03928768458750973
1-0,1-0,0.4595050240717869,0.5012488499522244,0.039246125975988706
1-0,1-0,0.45837359415094775,0.5024532114100854,0.03917319443896704
1-0,1-0,0.4606092419230175,0.5004179796957798,0.038972778381202715
1/2-1/2,1-0,0.45574289342784025,0.49594335999802847,0.048313746574131504
0-1,1-0,0.41128264172864926,0.40904476540039764,0.17967259287095325
0-1,1-0,0.4605371799067195,0.5003644946497895,0.03909832544349092
0-1,1-0,0.46054951301070823,0.5001991173380099,0.03925136965128183
0-1,1-0,0.4579209424382417,0.5028338030760583,0.039245254485699946
1-0,1-0,0.46054579438826865,0.5001976366317461,0.039256568979985064
0-1,1-0,0.4552033687400343,0.505629121787358,0.03916750947260775
0-1,1-0,0.4603495279479292,0.5004651642619268,0.039185307790144085
0-1,1-0,0.4576874046098454,0.5032128907669072,0.03909970462324772
0-1,1-0,0.45839392830051323,0.5025051647747593,0.03910090692472751
1-0,1-0,0.46057425583251155,0.5002944363902511,0.0391313077772373
1-0,1-0,0.46075314758015407,0.5006839365517092,0.03856291586813672
0-1,1-0,0.45583497391114564,0.505018111810598,0.03914691427825617
0-1,1-0,0.45923244601307794,0.5014389915528722,0.0393285624340501
