y_true,y_pred,prob_1-0,prob_0-1,prob_1/2-1/2
1-0,0-1,0.0,0.5686163072906691,0.427203970533808
0-1,0-1,0.0,0.5473435569571747,0.4499530932124056
1-0,1-0,0.0,0.4197357645727682,0.5619917986017717
0-1,1-0,0.0,0.4810823055194085,0.4939891051975966
1-0,1-0,0.0,0.273763336069949,0.6926652583702438
0-1,1-0,0.0,0.45395125166330863,0.4980770742911466
0-1,1-0,0.0,0.4794780226311521,0.48780531311578534
0-1,1-0,0.0,0.37,0.5554934791969793
0-1,1-0,0.0,0.4558373692503972,0.520851041894262
0-1,1-0,0.0,0.46004245646684605,0.4688531152364983
0-1,1-0,0.0,0.46214604259646375,0.5166466850906342
1-0,0-1,0.0,0.49289000747597667,0.48404667884149016
1-0,1-0,0.0,0.41279283897082886,0.5685774702720972
1-0,1-0,0.0,0.47321484528832947,0.49900685214153107
1-0,1-0,0.0,0.46515148487595726,0.5138910482825916
1-0,1-0,0.0,0.361532070521391,0.6194424257107926
1-0,0-1,0.0,0.5755213927505122,0.4132220950710236
0-1,1-0,0.0,0.43685125299756644,0.5389658243644138
1-0,1-0,0.0,0.4335203311169825,0.5473923235098758
1-0,0-1,0.0,0.5018096094288389,0.47224132774699357
0-1,0-1,0.0,0.503294971171399,0.48856150386773467
0-1,1-0,0.0,0.4376133967084185,0.5333941979652158
0-1,0-1,0.0,0.546250252941099,0.425699307406763
0-1,0-1,0.0,0.6473016541006757,0.34016492013924116
1-0,1-0,0.0,0.42111745087123764,0.5604321786831894
0-1,1-0,0.0,0.4589944670303878,0.5211976142114677
1-0,1-0,0.0,0.4347334599020511,0.4859889445617198
0-1,0-1,0.0,0.5310551471672641,0.46248570992973326
1-0,1-0,0.0,0.43081511015580404,0.549962637043061
0-1,0-1,0.0,0.5207977260832156,0.4641929046309432
0-1,0-1,0.0,0.4893119365864169,0.4829103642857512
1-0,1-0,0.0,0.42577973894632215,0.4932692383367454
0-1,0-1,0.0,0.49655406937506913,0.4579886423229501
0-1,1-0,0.0,0.40941011282003137,0.5702505447030601
0-1,1-0,0.0,0.3819105410333658,0.6008811520070314
1-0,0-1,0.0,0.540001314232448,0.43439874802587997
1-0,0-1,0.0,0.573085219931686,0.41800547273175864
0-1,0-1,0.0,0.4062080720530613,0.38179511036106434
0-1,1-0,0.0,0.3855113715521868,0.5057766269471449
0-1,1-0,0.0,0.4877592296250538,0.48825491506794966
0-1,1-0,0.0,0.4792323720031396,0.49093890766380577
1-0,1-0,0.0,0.36186952225872676,0.6201233415906328
0-1,0-1,0.0,0.5132170940614129,0.46784544731067157
1-0,1-0,0.0,0.41707690234144956,0.5728875244540954
1-0,1-0,0.0,0.4552250669843685,0.5203156465393719
