PC1,Result
0.08068461813986905,1-0
-0.1943667149990832,1-0
0.1241084996559696,1-0
-0.06158222386137602,0-1
-0.1564514313492389,1-0
0.014152760041069912,1-0
-0.3494420309820193,1-0
-0.040232649384517094,1-0
-0.10348896579883116,1-0
0.02494365904919893,0-1
0.19509729094216166,0-1
0.10893567133043558,0-1
0.16692460479173654,1-0
0.22688421612832654,1-0
-0.1629002461794874,1-0
-0.3553418421775708,0-1
-0.2722733882043681,1-0
0.30072046426361154,1-0
-0.21093335706029748,1-0
0.3317842456134682,0-1
0.19870560635628687,0-1
-0.12843075235555368,1/2-1/2
0.018208802616566544,0-1
0.3108421499847599,1-0
0.4085220292772739,1-0
0.3672968491804275,1-0
0.2510835784798541,0-1
0.1611874764982697,1-0
0.10048401998785039,1-0
-0.3072771499881963,0-1
0.13107705865415586,1-0
0.234020885617514,1-0
-0.08744625467099476,0-1
-0.21694316143208237,0-1
0.14371785412965277,0-1
-0.12516868868147701,0-1
0.21569907529335353,1-0
-0.07819182364187283,1-0
-0.0172049536393456,0-1
-0.2942220804161735,1-0
-0.4475696598496685,0-1
0.08003530500888723,0-1
0.37730042963540533,1-0
0.3500228499051249,1-0
-0.24067139951562588,0-1
-0.024683803375907365,1-0
-0.12078816349178867,0-1
-0.043800461441825256,0-1
0.20765165810547803,1-0
-0.4117215812111317,0-1
-0.0811945963890377,1-0
0.22386694840031585,1-0
0.07338047158376249,1-0
0.2618646774156218,0-1
0.31985049829716516,0-1
-0.1823786875640776,1-0
-0.4251745321178658,1-0
0.3009883265497547,0-1
0.04669933665062509,1-0
-0.054145740461119085,1-0
0.20104701728996532,0-1
-0.12234520626748013,1-0
0.26856951119485395,1-0
-0.04925920861069755,1-0
-0.12050171510478491,0-1
0.3935121388974204,1-0
0.3332183665443912,1-0
0.05454592979573181,0-1
0.026799756595541457,1-0
0.1690232901884824,1-0
0.15233506553782472,1-0
-0.13477264176179893,1-0
-0.220727309483443,0-1
-0.09641976541817832,1-0
0.41630615170437857,1-0
-0.2031877761611499,0-1
-0.04623980601868549,1-0
0.021925847969684664,0-1
-0.02129372939395069,1-0
-0.2542616387452151,0-1
-0.04977700891033898,0-1
-0.06617375559290317,0-1
-0.4136393875486347,1-0
0.06011582201138166,0-1
-0.4225594505491954,1-0
0.021227197014934363,1-0
-0.07202095029426492,0-1
-0.2724827611926045,0-1
0.14036721850260092,1-0
0.06360257446340378,0-1
-0.24316127304147994,0-1
0.3870624784650988,1-0
0.09445849943908335,1-0
0.013301845766337306,0-1
-0.08864130432946882,1-0
0.14125486339295412,0-1
0.3122295808295309,1-0
0.20767102854694375,0-1
0.06827650825948861,1-0
-0.012480294732692743,1-0
-0.2646773076148202,1-0
0.013406838885261063,0-1
0.3005980072609843,0-1
-0.28068318288031713,1-0
-0.12772830179264272,1-0
0.22483432520384594,1-0
-0.1807709196778181,0-1
0.18195640964112303,1-0
0.3334001424305818,1-0
0.24808400838502542,0-1
0.130729195774269,1-0
-0.20433191889712132,0-1
0.0991610189035178,1-0
-0.236183251429961,0-1
0.0023271604645529465,1-0
-0.1056784732853191,1-0
-0.08939227748013157,1-0
-0.13334276008099044,1-0
