PC1,PC2,Result
0.14245708028294257,0.057488984939700366,0-1
0.22779387362491588,-0.12011682976380944,0-1
-0.31131939505482004,-0.01679850753422689,0-1
0.33454094482768704,-0.14541930690967275,0-1
-0.14482266283217882,0.04006718405753387,1-0
-0.05011250360925712,-0.05090439647395906,1-0
0.0157619320550465,-0.07778481161964797,0-1
0.24368728978849719,-0.0942889671421906,0-1
0.03488658972455827,0.028092365472306147,0-1
-0.0857276388226581,0.007324546013849742,1-0
-0.12222926705586812,-0.022926901320832763,0-1
0.0635352167215657,-0.10994740320039842,1-0
0.1872351241773268,-0.07564679455102341,1-0
0.32484036130877425,0.12550713203371847,0-1
0.10391171138632871,0.09508221474738732,1-0
-0.03659906232107535,0.008113609981505676,0-1
-0.11918408272734726,0.11836353368101235,0-1
0.08501522260445893,-0.06492105277352297,1-0
-0.5482268752690133,-0.05887998803562862,1-0
0.15770263227078662,0.014967210029918271,0-1
-0.09914064128729505,0.12305948105421896,1-0
0.14519413717118224,0.26605407573060336,0-1
-0.5550979938702926,-0.0926199569823567,1-0
-0.14661757252510033,-0.006836738739499304,0-1
0.16363865396871968,-0.005805300895776466,1-0
-0.20260010528215955,-0.027708111351678902,0-1
0.08860985578247726,-0.02486606412674333,1-0
-0.4405765463014792,-0.06450401597436659,0-1
-0.38848023118650465,-0.02878418507295777,0-1
-0.5218898260213658,0.0322646930329632,0-1
0.7117265327815085,-0.1450001075526058,1-0
0.17807567319227602,0.04682729497265367,1-0
-0.1555440212029936,-0.14079027267106461,0-1
-0.2305843327843612,0.12975093328768347,1-0
-0.29377712392233146,-0.06115708618201625,1-0
-0.059965012989124156,0.00429612006698496,0-1
0.09395392976340122,0.17783132281878364,0-1
-0.34032879118648535,-0.14820964695641065,1-0
-0.009624611640543401,-0.08189884396313424,1-0
0.08204442389598421,-0.06495947131046755,1-0
0.02941847001493214,-0.09328024590287756,0-1
-0.4343560745136603,-0.0036338172906912602,0-1
-0.2700026249510199,0.03293999797439848,1-0
0.07513320511158383,0.08446121604031179,0-1
-0.0034070230065967877,-0.09596953613614072,0-1
0.1336772083864498,-0.07670948346421061,1-0
-0.14777611459649254,-0.01958766071900228,1-0
-0.3328029230885142,-0.01424594189403805,0-1
0.29199981951132603,0.07293971469636806,1-0
-0.10532305323021518,0.19765937436725448,1/2-1/2
0.18961998607656272,0.11982048616017951,1-0
-0.2964472550535396,-0.13297062075634258,1-0
-0.15585352436685795,0.17635316866504167,0-1
-0.45362944981894376,0.03894393025888854,1-0
-0.07866288303746471,0.006195936723422196,0-1
0.028995902016534902,-0.07888778218363626,1-0
0.3748596897076215,0.03984869113349923,0-1
-0.14521321475078164,-0.020539560811417515,0-1
-0.14158718486255695,-0.08151264990808402,1-0
0.4141171875693941,-0.07220830693880534,0-1
0.06894569913270554,-0.02302348239549211,0-1
-0.23847419229666744,-0.13879599118538663,0-1
0.06484024550177903,-0.05605309128199079,0-1
-0.3241646820675633,-0.09679114270973135,1-0
-0.10374825672574284,-0.0384798341172332,1-0
0.3462310049077175,-0.07918367698452622,0-1
-0.12094273709035974,-0.02991881631558041,1-0
-0.0948757610109413,-0.08652924711039212,0-1
0.19035464609441943,0.12643655899355957,1/2-1/2
-0.025547303287300482,-0.006359942931495638,0-1
-0.07803317576420432,-0.020899302374618525,1-0
0.32047366648529274,0.4102117042495441,1/2-1/2
-0.051410849627437805,-0.016849214731209206,0-1
0.08906884408180082,-0.06536236550834064,1-0
0.013592854021566403,0.07755858197328716,0-1
0.14243936302241966,-0.07734371310558397,0-1
0.422637665236403,-0.24318876926515448,1-0
0.4799710256057257,-0.1336123811618742,0-1
-0.28134832188820014,-0.05340003886036608,0-1
-0.4662363854449752,-0.08150547149706552,1-0
-0.2053943318403212,0.06709139926605692,1-0
0.1581626151267842,0.05625812497555821,1-0
-0.13418211779984712,0.02560939578602764,1-0
0.038857262999416275,0.18285231816214773,1-0
0.19610292137271912,0.0906195085620268,1-0
0.4136909548629424,-0.05881026294411677,0-1
0.31404167249559634,-0.001147133604049777,0-1
-0.402141263440101,-0.02079579730431462,1-0
-0.4603133233109886,0.3300324206462537,0-1
0.20389224920247817,0.05055188612592701,1-0
0.2760671824485317,0.15149686554057143,0-1
0.1073114806114508,-0.06715978546987804,0-1
0.21141675521383707,0.08352918040077259,0-1
0.26278276204741213,0.07156664919177075,0-1
0.08251921844486876,0.009521997078188266,1-0
-0.21244741092614916,0.019639996447854774,0-1
-0.4648524347099004,-0.0006995189325839368,0-1
0.10172519076326259,0.0009304993419919083,1-0
-0.0011155496389338992,0.031893491200675445,1-0
0.1958907149288618,-0.042558491781722135,1-0
0.42927739267036324,-0.020455021205279394,1-0
0.025764201241309737,0.028999400840870715,1-0
-0.013861023188090349,-0.10168159188982431,0-1
0.07056420443275468,0.1795670306086504,1-0
0.07030465567582345,0.010922592877466969,1-0
-0.38123438654352365,0.0991334350514681,1-0
