PC1,Result
1299.673144667981,0-1
1112.167473381699,1-0
-657.3802853077882,1-0
449.25182167261755,0-1
940.614216890825,1-0
476.69397299189177,1-0
468.4086648393177,1-0
403.70169316206784,1-0
590.845918046019,1-0
733.3637180041437,0-1
114.44566099759186,0-1
847.1400203184417,1-0
-347.39204787097697,0-1
-584.6764181283761,1-0
412.4062840286083,0-1
-1218.7764181542532,1-0
-612.9512744363933,1-0
-1852.5549674814818,1-0
-1229.5640527411485,0-1
1021.96116530466,1-0
-78.97205940567301,1-0
234.52409771604425,0-1
452.28427263800086,0-1
582.0127412754919,1-0
1446.5108582683392,0-1
-756.7651214418925,0-1
565.3954717970701,1-0
-643.5871624740043,0-1
673.9105529032322,1-0
-333.320526713806,1/2-1/2
-605.4977286774229,1-0
-1192.6620860783935,1-0
-149.91450405409887,1-0
-171.2988289477439,1-0
-560.4861327111216,0-1
-240.63525278794623,0-1
-518.7599276488468,0-1
131.89145798592062,0-1
43.59628328677127,1-0
253.09239923517816,1-0
-268.286850971444,1-0
-218.06314429742542,1-0
-806.6695128223319,1-0
575.7410429619767,0-1
934.4780104231036,1/2-1/2
1220.1018151226303,0-1
-429.3355120404144,1-0
-262.58830782803125,0-1
-199.1583868663006,0-1
-29.29590488655822,0-1
170.51300441132298,0-1
-432.10065263469187,1-0
-1033.5495552640682,1-0
413.0955502587676,0-1
-1324.880192750704,1-0
906.608381932248,1-0
582.1678999850647,0-1
0.16043933901482887,1-0
203.4956466697722,1-0
-531.5751027354977,1-0
339.72981480782164,1-0
-156.8844882084286,0-1
-364.7343736817661,1-0
73.3871338597919,1-0
-960.4576915403504,1-0
-85.8953405278694,1-0
-255.63014066555115,1-0
109.77232584731246,0-1
523.8463302131008,0-1
301.5429398362212,0-1
452.84028492732114,1-0
556.9027116720372,1-0
-458.18116683649805,1-0
-938.0781821676906,0-1
-709.9723626309674,1-0
826.9305181513632,1-0
-531.1124003969717,1-0
892.7581010401491,0-1
539.4121330934822,0-1
-349.67413328823204,1/2-1/2
59.607625223655305,0-1
852.886238546746,1-0
1095.4009790827527,1-0
988.0893133264908,1-0
679.1605165957576,0-1
418.25653291069057,1-0
246.75756364707695,1-0
-814.0257416423915,0-1
367.33889196965947,1-0
632.9685516643785,1-0
-219.80813258595845,0-1
-570.8373213020282,0-1
405.4311458110469,0-1
-342.7398150000031,0-1
592.5447854422696,1-0
-201.91725990389432,1-0
-63.270668566027325,0-1
-767.165177520028,1-0
-1165.5981082759508,0-1
230.52682943716763,0-1
1029.0057138125162,1-0
948.1489899319399,1-0
-614.7417280274999,0-1
-70.77636521980048,1-0
-345.614942800717,0-1
-171.15407447810503,0-1
538.9095828783834,1-0
-1106.5863963345403,0-1
-196.7594137598262,1-0
638.0489399602557,1-0
210.34341404929546,1-0
659.7918989328236,0-1
824.4570541412218,0-1
-503.2464678902097,1-0
-1140.5647598846322,1-0
816.5497671467351,0-1
142.1780965503258,1-0
-96.94714897801714,1-0
554.992595674129,0-1
-321.97952805669456,1-0
698.8181127717585,1-0
-112.43598003658553,1-0
-313.32018214314894,0-1
991.0205083556793,1-0
918.0627246532304,1-0
173.30172820305097,0-1
40.70457434388436,1-0
453.9304577858479,1-0
440.58805073541,1-0
-383.70671061572466,1-0
-573.1914674910536,0-1
-266.288025068759,1-0
1077.6730696549685,1-0
-558.4905394297621,0-1
-94.57771016262723,1-0
69.4398520206214,0-1
-65.01823388617595,1-0
-675.3594834407454,0-1
-115.34548518759311,0-1
-173.04607780484366,0-1
-1106.567628073661,1-0
141.09393103070806,0-1
-1141.241892659893,1-0
0.39755437030089524,1-0
-188.65238415150725,0-1
-718.040030389092,0-1
382.95944544006943,1-0
184.32689039775187,0-1
-681.5892428724515,0-1
1053.28094515962,1-0
248.62627211677773,1-0
59.198849249509294,0-1
-286.66515306794463,1-0
326.5442956819211,0-1
813.1599330124113,1-0
553.358640094652,0-1
172.27554589478723,1-0
-65.54526590162459,1-0
-699.0925597093665,1-0
31.362890805598454,0-1
831.4601951208706,0-1
-756.7209954413756,1-0
-285.1834173761522,1-0
530.4073171163163,1-0
-517.1051354668648,0-1
494.3535910818591,1-0
892.8078671302769,1-0
680.8422207099857,0-1
339.7093454546143,1-0
-543.7192711628777,0-1
305.4935277465761,1-0
-603.8143234708668,0-1
-2.6744280086063554,1-0
-323.6235714130562,1-0
-244.00743761386775,1-0
-366.97043432020973,1-0
729.4370297542878,1-0
-1255.6196952296957,1-0
38.24214204074906,0-1
199.90951743349524,1-0
163.53037811210424,1-0
-619.4439926654022,0-1
-104.94735055136425,1-0
-791.3932424722307,0-1
254.7656658786018,0-1
47.7589222882134,1/2-1/2
114.60665748274323,1-0
-287.7092471716487,0-1
318.99043791687745,1-0
-62.18127553331851,1-0
-199.0119367633597,0-1
-926.5138522402704,0-1
534.296881420933,1-0
667.5481951203969,1-0
-411.91239964663737,1-0
323.919872177265,1/2-1/2
-565.6634534920272,1-0
672.1542109856173,0-1
-765.4192398423475,0-1
-368.71347850322536,1-0
-536.2096128482108,0-1
63.05172392162831,0-1
-100.20686567935627,0-1
-396.53693531555064,0-1
619.1908910202897,1-0
-115.1912250809196,1/2-1/2
385.3899078611985,1-0
-136.07428827527337,1-0
-1378.4298899085024,0-1
759.337477620837,1-0
332.72389911059054,0-1
119.70615316615931,1-0
207.99610035221758,1-0
317.61707992103084,0-1
-1298.2951842282816,1-0
-18.26352028700012,0-1
-773.3801076881373,0-1
-444.54546328085326,1-0
-207.49730492020535,1-0
667.5244423596164,1-0
253.6336049245133,1-0
65.95687749883336,1-0
658.9259731520901,0-1
207.99118930217583,1-0
-295.9509444001119,0-1
769.770402183879,1-0
-358.3176270991744,1-0
-808.6863108828834,0-1
643.3147557553843,1-0
232.27665532588253,1-0
414.77458122790904,0-1
485.683304115752,1-0
