PC1,Result
-618.0673340573962,0-1
-585.1026285203711,0-1
-1111.2714015769502,1-0
-584.720131552373,1-0
954.9993343430792,1-0
209.73778256956575,1-0
701.6831754591994,1-0
937.9402217922466,1-0
-318.52142524816463,0-1
-245.81612265322565,0-1
-217.454495086924,0-1
377.8460417595679,1-0
-1425.3313755326944,1-0
78.64023406017168,0-1
496.1909399320389,0-1
767.4482258768612,1-0
644.9685250983598,0-1
-188.42640147233396,0-1
257.3944862842832,1-0
428.3217163194704,0-1
641.0953442499467,1-0
364.40818842587623,0-1
353.8185228380162,0-1
-278.74659135326146,0-1
401.9589881057127,0-1
124.87418320058259,0-1
279.3474461382875,1-0
1693.0910115213205,1-0
225.78860513372638,1-0
769.8056328098482,0-1
217.21323309727086,1-0
78.1228772450877,1-0
176.7986333855356,0-1
-468.76110643774473,0-1
-306.21227601112787,1-0
-25.863402830855648,0-1
579.1627508648362,0-1
-663.1416265991265,0-1
520.4805653026074,1-0
-127.97756679341728,0-1
693.622023729974,1-0
-392.41701502173555,1-0
-54.575583336521504,1-0
-226.15262071081315,1-0
-739.2003910863309,1-0
-124.53862215867593,1-0
373.2223257996975,0-1
-611.3700292279573,0-1
273.71050874046296,0-1
-683.4033984380894,1-0
-394.2516172769697,1-0
234.17145057479047,0-1
-287.3523056292561,1-0
311.111724078768,0-1
-787.987386671974,0-1
-529.2527342015378,0-1
-967.4321007183428,0-1
-211.19203673364154,0-1
-324.91198347905356,1-0
-1425.469489737327,1-0
-30.449141569810763,0-1
1765.241104316368,1-0
821.87830763993,0-1
326.41765388345175,0-1
422.74242300634023,0-1
-531.6704075780576,1-0
-1122.3022773111218,1-0
-117.05859970758956,1-0
557.8598228166661,0-1
198.16871115543518,1-0
664.004417342449,1-0
-1009.0877765378445,0-1
993.4266077535394,0-1
-167.7592558438805,1-0
-1011.2657578514629,0-1
-718.7011414984195,0-1
-1189.8164245779296,1-0
-327.13520974566654,1-0
248.05992903738252,1/2-1/2
599.4210470692847,1-0
-536.902428162744,1-0
533.7873291505557,0-1
835.826153943156,1-0
-692.0461632094634,1-0
318.7480219226409,1-0
-593.9698671055316,0-1
399.12417154433933,1-0
-629.6983956709996,1-0
-992.2610837862001,0-1
234.55728266400047,0-1
495.62615104525366,1-0
124.87591241554765,0-1
66.60097222585682,1-0
644.5119715394353,0-1
-368.78388350989053,1-0
987.211629988944,1-0
367.4234253229888,0-1
480.5069553876051,1-0
-872.8017739680427,0-1
793.4441840617264,0-1
-372.51357481346986,0-1
1514.5082561357654,0-1
-375.69734253200386,1-0
49.17229319232774,1-0
-449.78874138115,1-0
-955.45152847134,1-0
-406.8818282271368,1-0
-275.2826788917905,0-1
118.51039546124684,1-0
693.5838769457282,0-1
-1399.2905623077431,0-1
-122.82745174419688,1-0
-318.5311738983887,0-1
10.453983845227413,0-1
-563.837797397588,0-1
-252.73240172014403,1-0
270.24902641088966,0-1
596.1083543201034,0-1
411.26004940063376,0-1
-806.846628014277,1/2-1/2
-347.3791627128976,1-0
835.0965764736543,0-1
-666.730406316879,1-0
-884.3145124768994,0-1
989.7778499326664,1-0
-689.2240114565902,0-1
-478.8908852002496,1-0
-1636.4758864112664,1-0
49.39708254177458,1-0
-1132.6021174966552,0-1
-1427.105146409132,1-0
223.55200768265604,1-0
348.2136795583069,0-1
-410.349193659511,1-0
116.74486436964708,1-0
-440.9490259181125,1-0
-113.43366809735699,1-0
-33.85273680150112,0-1
883.4790687500695,1/2-1/2
975.9470663410166,0-1
-252.7323282702846,1-0
-1021.698490187563,1-0
698.8475282857612,0-1
824.6748359763642,1-0
-88.14290169511332,1-0
299.8529451509071,0-1
-413.2967948085161,0-1
-105.40118017895338,0-1
-375.58961589413275,1-0
-243.9010729416641,1-0
-475.4503355866509,1-0
324.78247777900106,0-1
765.885676406835,0-1
-676.5523249873818,0-1
-411.4496973081118,0-1
823.4208973741302,1-0
66.69289754737338,0-1
113.27752160088357,1-0
144.13425999065748,1-0
-259.41270737186596,0-1
-933.2288517053341,1/2-1/2
-72.45140640541058,0-1
-1034.9462253215388,0-1
383.034546606224,0-1
-770.1768653327667,0-1
278.9645583299912,0-1
213.90963340860435,1-0
267.44749091094263,0-1
1223.5972848895885,1-0
487.3841664037682,0-1
-795.9393310205792,0-1
-70.88788395523534,0-1
-108.91887117769465,1-0
918.8110930472212,1-0
