model,variant,f1,precision,recall,time_ms,params
YOLOv8n,n,0.663,0.7593,0.6427,125.6,3151904
YOLOv8s,s,0.6889,0.7478,0.692,249.66,11156544
YOLOv8m,m,0.7298,0.7586,0.7542,509.06,25886080
YOLOv8l,l,0.7247,0.7604,0.7387,987.28,43668288
YOLOv8x,x,0.7443,0.7592,0.7818,1460.08,68200608
